id,title,avg_rate,geek_rate,num_votes
82421,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.61,6.984,2155
143519,Quantum,7.35,6.984,4020
82420,Summoner Wars: Guild Dwarves vs Cave Goblins,7.67,6.983,2003
27746,Colosseum,7.19,6.979,6694
4390,Carcassonne: Hunters and Gatherers,7.15,6.978,9494
110277,Among the Stars,7.24,6.977,4950
15364,Vegas Showdown,7.22,6.977,5388
47,Chinatown,7.22,6.975,5651
38996,Washington's War,7.68,6.974,1876
31563,Middle-Earth Quest,7.41,6.974,3356
30380,Cuba,7.18,6.973,6890
113294,Escape: The Curse of the Temple,7.11,6.971,11000
158275,Marvel Dice Masters: Uncanny X-Men,7.45,6.971,2964
3201,Lord of the Rings: The Confrontation,7.21,6.969,5815
150997,Shadows of Brimstone: Swamps of Death,8.14,6.968,1343
192457,Cry Havoc,7.77,6.967,1827
88,Torres,7.18,6.966,6882
42215,Tobago,7.13,6.966,8050
153938,Camel Up,7.11,6.965,11032
65901,Age of Industry,7.47,6.965,2551
10547,Betrayal at House on the Hill,7.14,6.965,20414
126792,Myrmes,7.35,6.964,3602
41002,Vasco da Gama,7.32,6.963,3677
151022,Baseball Highlights: 2045,7.74,6.963,1701
135219,The Battle of Five Armies,8.01,6.963,1313
21763,Mr. Jack,7.09,6.962,11539
2163,Space Hulk,7.46,6.960,3143
47185,Warhammer: Invasion,7.28,6.960,4972
35570,Tinners' Trail,7.33,6.955,3413
6249,Alhambra,7.04,6.955,20684
41066,Virgin Queen,8.10,6.954,1151
68425,Eminent Domain,7.14,6.954,7204
55600,Shipyard,7.39,6.951,2859
117915,Yedo,7.51,6.949,2457
12942,No Thanks!,7.04,6.948,14031
24508,Taluva,7.18,6.946,5873
22345,Yspahan,7.14,6.942,6962
91312,Discworld: Ankh-Morpork,7.18,6.940,6698
140934,Arboretum,7.36,6.939,3145
12891,Friedrich,7.56,6.939,2163
28023,Jamaica,7.10,6.936,9754
91872,Dungeons & Dragons: The Legend of Drizzt Board Game,7.35,6.933,3984
151347,Millennium Blades,8.07,6.933,1273
201808,Clank!,8.10,6.932,1297
171,Chess,7.09,6.930,19585
160495,ZhanGuo,7.68,6.929,1721
162007,Steampunk Rally,7.45,6.929,2617
94,Union Pacific,7.25,6.928,3905
168584,Love Letter: Batman,7.40,6.928,3022
43528,World Without End,7.30,6.927,3582
37904,Formula D,7.06,6.925,11703
30957,Tribune: Primus Inter Pares,7.26,6.924,3878
188834,Secret Hitler,7.61,6.924,2475
192458,51st State: Master Set,7.96,6.924,1307
163602,XCOM: The Board Game,7.23,6.923,4603
156689,Legendary: Villains – A Marvel Deck Building Game,7.77,6.922,1689
27976,Heroscape Master Set: Swarm of the Marro,7.63,6.922,1980
73761,K2,7.14,6.920,6235
84419,Space Empires: 4X,7.58,6.920,1984
1035,Squad Leader,7.47,6.920,2634
107529,Kingdom Builder,7.04,6.919,12575
131287,Panamax,7.44,6.918,2386
26566,Homesteaders,7.32,6.918,3016
503,Through the Desert,7.05,6.917,10457
13004,The Downfall of Pompeii,7.14,6.917,5837
183251,Karuba,7.37,6.913,2900
46,Medici,7.14,6.911,5529
2181,Bridge,7.47,6.910,2538
69779,Polis: Fight for the Hegemony,7.82,6.910,1433
372,Schotten Totten,7.28,6.910,3446
155362,Ca$h 'n Guns (Second Edition),7.11,6.909,6581
1345,Genoa,7.16,6.905,5411
123540,Tokaido,7.08,6.904,9545
137269,Spyrium,7.17,6.901,4485
180511,Shakespeare,7.54,6.900,2011
12962,Reef Encounter,7.17,6.899,4570
172308,Broom Service,7.30,6.898,3117
132028,Conflict of Heroes: Awakening the Bear! (second edition),8.14,6.898,1056
146278,Tash-Kalar: Arena of Legends,7.26,6.896,3737
528,ZÈRTZ,7.30,6.895,3204
144797,Argent: The Consortium,7.83,6.891,1360
85897,Thunderstone: Dragonspire,7.41,6.888,2393
205359,Star Wars: Destiny,8.25,6.886,1171
12002,Jambo,7.06,6.885,7226
491,Web of Power,7.31,6.885,3025
148319,Tragedy Looper,7.41,6.884,2473
9440,Maharaja: The Game of Palace Building in India,7.17,6.882,4437
45986,Stronghold,7.28,6.879,3082
100423,Elder Sign,7.01,6.879,14564
98351,Core Worlds,7.26,6.878,3212
177639,Raptor,7.56,6.877,1898
169124,Flick 'em Up!,7.24,6.875,3451
52461,Legacy: The Testament of Duke de Crecy,7.30,6.875,2941
143741,BANG! The Dice Game,7.03,6.874,9684
939,Star Wars: The Queen's Gambit,7.56,6.873,1844
108784,Ascension: Storm of Souls,7.37,6.872,2717
29603,D-Day at Omaha Beach,8.23,6.872,944
143515,Coal Baron,7.33,6.872,2803
192153,Pandemic: Reign of Cthulhu,7.62,6.871,1946
5782,Coloretto,6.97,6.871,13456
12902,Carcassonne: The City,7.21,6.869,3755
191862,Imhotep,7.34,6.869,2728
1041,San Marco,7.19,6.868,3769
174785,Mare Nostrum: Empires,7.84,6.868,1359
21882,Blue Moon City,7.06,6.866,6679
8125,Santiago,7.15,6.866,4273
13642,Louis XIV,7.12,6.865,4940
7717,Carcassonne: The Castle,7.09,6.864,6331
156943,Saint Petersburg (second edition),7.66,6.864,1511
69789,Ascension: Deckbuilding Game,7.05,6.862,8489
66356,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.22,6.862,4339
106217,Hawaii,7.23,6.862,3271
38823,Conflict of Heroes: Storms of Steel! – Kursk 1943,7.80,6.861,1342
139898,Brew Crafters,7.67,6.858,1500
108906,Thunder Alley,7.44,6.857,2086
155821,Inis,7.82,6.857,1471
